Chiapas                                           ,Tapalapa                                          ,1083
Chiapas                                           ,Tapilula                                          ,3429
Chiapas                                           ,Tecpatan                                          ,12055
Chiapas                                           ,Tenejapa                                          ,8611
Chiapas                                           ,Teopisca                                          ,12274
Chiapas                                           ,Tila                                              ,14201
Chiapas                                           ,Tonala                                            ,28644
Chiapas                                           ,Totolapa                                          ,1717
Chiapas                                           ,La Trinitaria                                     ,21226
Chiapas                                           ,Tumbala                                           ,6273
Chiapas                                           ,Tuxtla Gutierrez                                  ,231262
Chiapas                                           ,Tuxtla Chico                                      ,12262
Chiapas                                           ,Tuzantan                                          ,8320
Chiapas                                           ,Tzimol                                            ,5246
Chiapas                                           ,Union Juarez                                      ,3975
Chiapas                                           ,Venustiano Carranza                               ,20339
Chiapas                                           ,Villa Corzo                                       ,21638
Chiapas                                           ,Villaflores                                       ,35560
Chiapas                                           ,Yajalon                                           ,10064
Chiapas                                           ,San Lucas                                         ,1847
Chiapas                                           ,Zinacantan                                        ,7202
Chiapas                                           ,San Juan Cancuc                                   ,6990
Chiapas                                           ,Aldama                                            ,1352
Chiapas                                           ,Benemerito de las Americas                        ,5866
Chiapas                                           ,Maravilla Tenejapa                                ,2524
Chiapas                                           ,Marques de Comillas                               ,2984
Chiapas                                           ,Montecristo de Guerrero                           ,1320
Chiapas                                           ,San Andres Duraznal                               ,700
Chiapas                                           ,Santiago el Pinar                                 ,695
Chihuahua                                         ,Ahumada                                           ,6278
Chihuahua                                         ,Aldama                                            ,8507
Chihuahua                                         ,Allende                                           ,4399
Chihuahua                                         ,Aquiles Serdan                                    ,2452
Chihuahua                                         ,Ascension                                         ,10908
Chihuahua                                         ,Bachiniva                                         ,2923
Chihuahua                                         ,Balleza                                           ,3832
Chihuahua                                         ,Batopilas                                         ,873
Chihuahua                                         ,Bocoyna                                           ,8500
Chihuahua                                         ,Buenaventura                                      ,11098
Chihuahua                                         ,Camargo                                           ,19812
Chihuahua                                         ,Carichi                                           ,2082
Chihuahua                                         ,Casas Grandes                                     ,4747
Chihuahua                                         ,Coronado                                          ,935
Chihuahua                                         ,Coyame del Sotol                                  ,998
Chihuahua                                         ,La Cruz                                           ,1653
Chihuahua                                         ,Cuauhtemoc                                        ,74923
Chihuahua                                         ,Cusihuiriachi                                     ,3081
Chihuahua                                         ,Chihuahua                                         ,320999
