"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1974","1000 Int. $","1868815.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1973","1000 Int. $","1863120.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1972","1000 Int. $","1790913.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1971","1000 Int. $","1836893.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1970","1000 Int. $","1897711.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1969","1000 Int. $","1747190.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1968","1000 Int. $","1740086.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1967","1000 Int. $","1647221.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1966","1000 Int. $","1612761.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1965","1000 Int. $","1571405.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1964","1000 Int. $","1472327.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1963","1000 Int. $","1201276.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1962","1000 Int. $","1082417.00000","A "
"Mexico","152","Gross Production 1999-2001 (1000 I$)","1961","1000 Int. $","1073928.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2007","1000 Int. $","4109010.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2006","1000 Int. $","3850032.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2005","1000 Int. $","3476719.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2004","1000 Int. $","3830834.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2003","1000 Int. $","3725642.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2002","1000 Int. $","3444176.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2001","1000 Int. $","3717074.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","2000","1000 Int. $","3378126.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1999","1000 Int. $","3298745.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1998","1000 Int. $","3516755.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1997","1000 Int. $","3403812.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1996","1000 Int. $","3529628.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1995","1000 Int. $","3239688.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1994","1000 Int. $","3257102.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1993","1000 Int. $","3026135.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1992","1000 Int. $","3259170.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1991","1000 Int. $","2888564.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1990","1000 Int. $","3118694.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1989","1000 Int. $","2662234.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1988","1000 Int. $","2594603.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1987","1000 Int. $","2936576.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1986","1000 Int. $","2821765.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1985","1000 Int. $","3417180.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1984","1000 Int. $","2905473.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1983","1000 Int. $","2754885.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1982","1000 Int. $","2522528.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1981","1000 Int. $","3004425.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1980","1000 Int. $","2523006.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1979","1000 Int. $","1907672.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1978","1000 Int. $","2297862.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1977","1000 Int. $","2194554.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1976","1000 Int. $","2042522.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1975","1000 Int. $","2064431.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1974","1000 Int. $","1809590.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1973","1000 Int. $","1805976.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1972","1000 Int. $","1730654.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1971","1000 Int. $","1778010.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1970","1000 Int. $","1837966.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1969","1000 Int. $","1684426.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1968","1000 Int. $","1680103.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1967","1000 Int. $","1584969.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1966","1000 Int. $","1551008.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1965","1000 Int. $","1506764.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1964","1000 Int. $","1409574.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1963","1000 Int. $","1140888.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1962","1000 Int. $","1024922.00000","A "
"Mexico","154","Net Production 1999-2001 (1000 I$)","1961","1000 Int. $","1021413.00000","A "
"Mexico","31","Area Harvested","2007","Ha","10230947.00000","A "
"Mexico","31","Area Harvested","2006","Ha","10005058.00000","A "
"Mexico","31","Area Harvested","2005","Ha","9280328.00000","A "
"Mexico","31","Area Harvested","2004","Ha","10493584.00000","A "
"Mexico","31","Area Harvested","2003","Ha","10570063.00000","A "
"Mexico","31","Area Harvested","2002","Ha","9874102.00000","A "
"Mexico","31","Area Harvested","2001","Ha","10875297.00000","A "
"Mexico","31","Area Harvested","2000","Ha","10136670.00000","A "
"Mexico","31","Area Harvested","1999","Ha","10127709.00000","A "
"Mexico","31","Area Harvested","1998","Ha","11033450.00000","A "
"Mexico","31","Area Harvested","1997","Ha","10474466.00000","A "
"Mexico","31","Area Harvested","1996","Ha","11480501.00000","A "
"Mexico","31","Area Harvested","1995","Ha","10668855.00000","A "
"Mexico","31","Area Harvested","1994","Ha","10645629.00000","A "
"Mexico","31","Area Harvested","1993","Ha","9547047.00000","A "
"Mexico","31","Area Harvested","1992","Ha","9928288.00000","A "
"Mexico","31","Area Harvested","1991","Ha","9753474.00000","A "
"Mexico","31","Area Harvested","1990","Ha","10543118.00000","A "
"Mexico","31","Area Harvested","1989","Ha","9745893.00000","A "
"Mexico","31","Area Harvested","1988","Ha","9681997.00000","A "
"Mexico","31","Area Harvested","1987","Ha","10205187.00000","A "
"Mexico","31","Area Harvested","1986","Ha","9735465.00000","A "
"Mexico","31","Area Harvested","1985","Ha","11271722.00000","A "
"Mexico","31","Area Harvested","1984","Ha","10099698.00000","A "
"Mexico","31","Area Harvested","1983","Ha","10387620.00000","A "
"Mexico","31","Area Harvested","1982","Ha","8385264.00000","A "
"Mexico","31","Area Harvested","1981","Ha","10742116.00000","A "
"Mexico","31","Area Harvested","1980","Ha","9535719.00000","A "
"Mexico","31","Area Harvested","1979","Ha","7791365.00000","A "
"Mexico","31","Area Harvested","1978","Ha","9850363.00000","A "
"Mexico","31","Area Harvested","1977","Ha","10097560.00000","A "
"Mexico","31","Area Harvested","1976","Ha","9525942.00000","A "
"Mexico","31","Area Harvested","1975","Ha","9527778.00000","A "
"Mexico","31","Area Harvested","1974","Ha","9058706.00000","A "
"Mexico","31","Area Harvested","1973","Ha","9898325.00000","A "
"Mexico","31","Area Harvested","1972","Ha","9510017.00000","A "
"Mexico","31","Area Harvested","1971","Ha","9677067.00000","A "
"Mexico","31","Area Harvested","1970","Ha","9739619.00000","A "
"Mexico","31","Area Harvested","1969","Ha","9273880.00000","A "
"Mexico","31","Area Harvested","1968","Ha","9735738.00000","A "
"Mexico","31","Area Harvested","1967","Ha","9529213.00000","A "
"Mexico","31","Area Harvested","1966","Ha","10068011.00000","A "
"Mexico","31","Area Harvested","1965","Ha","9350458.00000","A "
"Mexico","31","Area Harvested","1964","Ha","8994221.00000","A "
"Mexico","31","Area Harvested","1963","Ha","8440920.00000","A "
"Mexico","31","Area Harvested","1962","Ha","7652725.00000","A "
"Mexico","31","Area Harvested","1961","Ha","7708027.00000","A "
