Temperature (C),"	Year", Month, Country, ISO3, ISO2
22.492968,2009,10,MEX,,
18.811323,2009,11,MEX,,
15.826579,2009,12,MEX,,
15.221777,2010,1,MEX,,
15.645334,2010,2,MEX,,
18.618557,2010,3,MEX,,
21.561556,2010,4,MEX,,
24.401445,2010,5,MEX,,
26.296335,2010,6,MEX,,
25.330444,2010,7,MEX,,
26.201443,2010,8,MEX,,
24.796778,2010,9,MEX,,
21.666445,2010,10,MEX,,
18.099,2010,11,MEX,,
15.833667,2010,12,MEX,,
15.572111,2011,1,MEX,,
16.287334,2011,2,MEX,,
20.614779,2011,3,MEX,,
23.625,2011,4,MEX,,
25.085222,2011,5,MEX,,
27.03389,2011,6,MEX,,
26.244665,2011,7,MEX,,
26.722778,2011,8,MEX,,
25.378,2011,9,MEX,,
22.34689,2011,10,MEX,,
18.489223,2011,11,MEX,,
15.263222,2011,12,MEX,,
16.47211,2012,1,MEX,,
17.214443,2012,2,MEX,,
19.695667,2012,3,MEX,,
22.576445,2012,4,MEX,,
24.931223,2012,5,MEX,,
26.443111,2012,6,MEX,,
25.918112,2012,7,MEX,,
26.431446,2012,8,MEX,,
24.98911,2012,9,MEX,,
23.001554,2012,10,MEX,,
19.177113,2012,11,MEX,,
16.69389,2012,12,MEX,,
